name,hex,yr,quan,Wet?,,,,,
Avocado,#498624,2000,80,,,,,,
Baby Blue,#9ED0E3,2013,72,Y,,,,,
Baby Pink,#F2A1B6,2014,64,,,,,,
Black Cherry,#632445,2017,76,Y,,,,,
Blue Violet,#7E2494,2000,63,Y,,,,,
Bright Yellow,#FCF53F,2022,200,,,,,
Brushed Steel,#969997,2022,200,,,,,,
Cardinal Red,#A22B30,2014,88,Y,73,← 3rd,,,
Chartruesse,#C0D848,2018,70,Y,,,,,
Chinese Red,#E90606,2019,34,,,,,,
Citrus Yellow,#F7FC65,2018,66,,,,,,
Dark Brown,#603B23,2019,64,,,,,,
Deep Orange,#FF6600,2022,200,,,,,
Deep Yellow,#FFC617,2018,90,,,,,,
Glacier Blue,#BBF7FC,2022,200,,,,,
Golden Brown,#B17C35,2019,82,Y,,,,,
Golden Yellow,#FFD900,2013,Low,Y,,,,,
Ice Blue,#B5B4DA,2017,72,Y,,,,,
Imperial Purple,#640062,2013,47,,,,,,
Ivory,#FAF6BB,2014,60,Y,,,,,
Jade Green,#38C5BC,2014,73,Y,,,,,
Kelly Green,#32C45B,2019,86,,,,,,
Lavender,#AB93C8,2000,,,,,,,
Lime Pop,#D4FA3E,2022,200,,,,,,
Mermaids Dream,#0C8E74,2018,80,Y,,,,,
Mist Gray,#DDDDDC,2017,278,,,,,,
Muir Green,#6d795d,2000,74,Y,,,,,
Navy Blue,#394066,2022,200,,,,,,,
New Black,#260626,2000,45,,,,,,
Orange Crush,#F47820,2000,200,Y,,,,,
Pagoda Red,#CB5425,2015,75,,,unopened pomegranate,2 oz lab,3 oz actual,
Peach,#FFAD8F,2022,200,,,,,,
Plum Blossom,#C48EB6,2000,53,Y,,,,85,g
Pomegranate,#BD2E37,2019,85,,,,,,
Rhythm and Blue,#090675,2000,200,Y,,,,,
Sage Green,#99BA99,2022,200,,,,,,
Saphire Blue,#2E2475,2000,70,,,,,,
Sea Foam,#B4E4CD,2018,82,,,,,,
Strong Navy,#1B215F,2022,200,,,,,,
Turquoise,#18AFDB,2000,200,,,,,,
Watermelon,#F15751,2018,86,,,,,,
Wisteria,#C8BFDB,2016,65,,,,,,
